,GENuS_name,FAO_name,Calories,Protein,Fat,Carbohydrates,Vitamin C,Vitamin A,Folate,Calcium,Iron,Zinc,Potassium,Dietary Fiber,Copper,Sodium,Phosphorus,Thiamin,Riboflavin,Niacin,B6,Choline,Magnesium,Manganese,Saturated FA,Monounsaturated FA,Polyunsaturated FA,Omega-3 (USDA only),B12 (USDA only),Water/moisture,Ash,Refuse
26,Pulses; nes,"Pulses, nes",350.03333333333336,22.613590141333336,7.656172083333333,50.92885824766667,0.9633333333333334,0.7333333333333333,45.5,159.71067893333333,6.640000000000001,0.9462209,240.1,7.582675444333333,0.27176666666666666,6.346500644433333,287.1512033333333,0.3529000003999999,0.1307000001,1.2494333333333332,0.035399999999999994,11.733333333333333,42.96666666666667,0.3142666666666667,0.11573333333333334,0.2125,0.21663333333333332,0.0,0.0,11.461800000000002,1.34057075,2.3333333333333335
27,Pulses; nes,"Pulses,Total",350.03333333333336,22.613590141333336,7.656172083333333,50.92885824766667,0.9633333333333334,0.7333333333333333,45.5,159.71067893333333,6.640000000000001,0.9462209,240.1,7.582675444333333,0.27176666666666666,6.346500644433333,287.1512033333333,0.3529000003999999,0.1307000001,1.2494333333333332,0.035399999999999994,11.733333333333333,42.96666666666667,0.3142666666666667,0.11573333333333334,0.2125,0.21663333333333332,0.0,0.0,11.461800000000002,1.34057075,2.3333333333333335
28,Cauliflowers and broccoli,Cauliflowers and broccoli,9.884137931034482,2.243103448275862,0.23413793103448272,1.403103448275862,52.983793103448285,410.9820689655172,4.137931034482759,25.697586206896553,0.6368965517241381,0.10137931034482758,71.51724137931035,0.393103448275862,0.004413793103448276,9.289655172413791,56.18034482758621,0.07175862068965519,0.07093103448275861,0.39537931034482754,0.012379310344827586,6.551724137931035,1.2413793103448276,0.012586206896551724,0.008586206896551724,0.002586206896551724,0.0044482758620689655,0.0,0.0,65.70724137931033,0.670344827586207,4.9655172413793105
29,Quinoa,Quinoa,52.71071428571429,12.11892857142857,5.7107142857142845,8.648571428571428,0.6671428571428571,0.03571428571428571,6.571428571428571,74.13357142857141,5.038214285714285,0.11071428571428572,34.17857142857143,0.25,0.02107142857142857,0.39285714285714285,223.8642857142857,0.26785714285714285,0.20457142857142857,1.0392857142857141,0.017392857142857144,2.507142857142857,7.035714285714286,0.07260714285714286,0.025214285714285713,0.057607142857142864,0.11757142857142856,0.0,0.0,10.670714285714284,2.839642857142857,0.0
30,Tomatoes,Tomatoes,10.696428571428571,0.7148214285714286,0.1799744897857143,1.9493409863928568,15.640584415714287,36.46917517035714,2.3660714285714284,10.177425714285715,0.6871428571428572,0.06821428571428571,63.021428571428565,0.36830357142857145,0.014452380964285713,4.777142857142857,23.035714285714285,0.03489285714285715,0.030003968250000002,0.48970634921428574,0.005892857142857143,0.2392857142857143,1.3928571428571428,0.004071428571428571,0.0020714285714285713,0.0021785714285714286,0.005821428571428572,0.0,0.0,77.20523809535713,0.3241071428571428,0.4642857142857143
31,Potatoes,Potatoes,28.639999999999997,1.910357143071429,0.12620535714285716,6.399151785357143,14.279642857142859,0.6147321428571428,2.6607142857142856,8.517142857142856,0.9405535715357143,0.14839285714285716,160.29285714285714,0.3369642857142857,0.015785714285714285,4.881607142857143,43.22132653071429,0.07100000000000001,0.05557142857142857,1.0821428567857143,0.03516964285714286,5.0,4.404761904642857,0.01582142857142857,0.0052499999999999995,0.00025,0.007321428571428571,0.0,0.0,76.36767857142857,0.9417857142857143,3.1785714285714284
32,Cassava,Cassava,49.67392857142857,0.9789285716785713,0.2542857143214286,11.0870446425,13.8,7.680357142857143,1.8214285714285714,16.708333333214288,0.5217857142857143,0.02428571428571429,53.714285714285715,0.2642857142857143,0.0071428571428571435,1.6428571428571428,15.482142857142858,0.026678571428571433,0.02385714285714286,0.22538095267857142,0.006285714285714286,0.8464285714285714,1.5,0.013714285714285715,0.006214285714285715,0.0062499999999999995,0.0031428571428571426,0.0,0.0,33.65785714285714,0.6525982142857144,1.5
33,Yams,Yams,86.77153846153846,2.0011635667307694,0.18416433492307693,19.715439776923077,6.470512820384614,0.6378205127692307,4.589148803461539,29.936096874999997,0.8092307692307692,0.09980052884615385,183.34615384615384,1.4499999999999997,0.025161225961538462,2.7655615384615384,36.523554326923076,0.07296153846153847,0.018294816653846153,0.27921153846153846,0.05004000884615385,0.6346153846153846,4.350961538461538,0.01526923076923077,0.0021923076923076926,0.0006153846153846154,0.004461538461538461,0.0,0.0,71.42722985346154,0.6027289102692308,1.8461538461538463
34,Other melons (inc. cantaloupes),"Melons, other (inc.cantaloupes)",18.63153846153846,0.5203846153846153,0.14038461538461539,4.2069230769230765,20.53846153846154,38.71153846153846,2.923076923076923,13.5,0.45153846153846156,0.05230769230769231,78.6923076923077,0.18461538461538465,0.007500000000000001,6.073076923076924,10.73076923076923,0.023615384615384614,0.02007692307692308,0.31053846153846154,0.018192307692307695,0.8769230769230768,2.076923076923077,0.003961538461538462,0.004384615384615384,0.0003076923076923077,0.006884615384615384,0.0,0.0,88.91653846153848,0.3315384615384615,5.5
35,Apples,Apples,38.862692307692306,0.2865384615384615,0.2719230769230769,9.058846153846154,8.934615384615386,2.756410256423077,0.23076923076923078,4.769230769230769,0.4315384615384615,0.012307692307692308,27.692307692307693,0.3269230769230769,0.003346153846153846,1.7923076923076924,5.846153846153846,0.024500000000000004,0.015230769230769232,0.10080769230769229,0.004653846153846153,12.476923076923075,0.5384615384615384,0.0013461538461538463,0.003,0.0006538461538461539,0.0050384615384615385,0.0,0.0,81.25346153846152,0.21769230769230768,0.38461538461538464
